,@timestamp,event.module,event.dataset,event.action,event.outcome,host.name,process.name,source.ip,message,log.file.path
1923037,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923036,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923035,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923034,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923033,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923032,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923031,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922999,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923029,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923028,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923027,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1923025,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922998,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922995,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922996,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922968,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922997,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922966,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922965,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922964,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922963,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922962,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922961,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922960,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922959,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922958,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922957,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922956,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922955,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922954,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922953,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922952,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922951,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922950,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922949,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922948,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922947,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922946,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922969,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922970,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922967,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922972,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922994,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922993,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922992,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922991,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922990,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922989,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922988,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922971,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922986,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922985,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922984,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922987,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922982,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922983,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922974,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922975,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922976,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922973,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922978,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922979,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922980,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1922981,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Info,,CBS,,Warning: Unrecognized packageExtended attribute.,sample_data\Windows.log
1922977,2015-08-22T00:00:53.000Z,windows,cbs,system_update,Failure,,CBS,,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],sample_data\Windows.log
1923056,2015-08-22T00:01:19.000Z,windows,cbs,system_update,Info,,CBS,,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Users/default/ntuser.dat,sample_data\Windows.log
1923050,2015-08-22T00:01:19.000Z,windows,cbs,system_update,Info,,CBS,,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/SOFTWARE,sample_data\Windows.log
1923051,2015-08-22T00:01:19.000Z,windows,cbs,system_update,Info,,CBS,,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/SYSTEM,sample_data\Windows.log
1923052,2015-08-22T00:01:19.000Z,windows,cbs,system_update,Info,,CBS,,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/SECURITY,sample_data\Windows.log
1923053,2015-08-22T00:01:19.000Z,windows,cbs,system_update,Info,,CBS,,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/SAM,sample_data\Windows.log
1923054,2015-08-22T00:01:19.000Z,windows,cbs,system_update,Info,,CBS,,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/COMPONENTS,sample_data\Windows.log
1923055,2015-08-22T00:01:19.000Z,windows,cbs,system_update,Info,,CBS,,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/System32/config/DEFAULT,sample_data\Windows.log
1923057,2015-08-22T00:01:19.000Z,windows,cbs,system_update,Info,,CBS,,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy34/Windows/system32/smi/store/Machine/schema.dat,sample_data\Windows.log
